ID,SMILES
L59,C=1C=C(C2=C(C1)CCC23C=4C(=CC=CC4CC3)P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)P(C=7C=C(C=C(C7)C)C)C=8C=C(C=C(C8)C)C
L60,O1C2=C(C=C3C=CC=CC3=C2C4=C(OP1N(C)C)C(=CC=5C=CC=CC54)C)C
L61,O1C2=C(C=C3C=CC=CC3=C2C4=C(OP1N(C)C)C(=CC=5C=CC=CC54)C=6C=CC=CC6)C=7C=CC=CC7
L62,O1C=2C=CC=3C=CC=CC3C2C4=C(OP1N(CC)CC)C=CC=5C=CC=CC54
L63,O1C=2C(=CC=CC2CC3CCCC4CC=5C=CC=C(C5OC134)P(C=6C=C(C=C(C6)C)C)C=7C=C(C=C(C7)C)C)P(C=8C=C(C=C(C8)C)C)C=9C=C(C=C(C9)C)C
L64,C(C[P@]1[C@](CC[C@@]1(C2=CC=CC=C2)[H])(C3=CC=CC=C3)[H])[P@]4[C@](CC[C@@]4(C5=CC=CC=C5)[H])(C6=CC=CC=C6)[H]
L65,P([C@H]([C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)C)C)(C3=CC=CC=C3)C4=CC=CC=C4
L66,C(C[P@@]1[C@H](CC)CC[C@H]1CC)[P@]2[C@H](CC)CC[C@H]2CC
L67,[P@](C(C)(C)C)(C)C=1C([P@@](C(C)(C)C)C)=NC2=C(N1)C=CC=C2
L68,C(C)[C@H]1[P@]([C@H](CC)CC1)C2=C(C=CC=C2)[P@@]3[C@H](CC)CC[C@H]3CC
L69,C[C@H]1[P@](C2=C(C=CC=C2)[P@@]3[C@H](C)CC[C@H]3C)[C@H](C)CC1
L70,C=1C=CC(=CC1)P(C=2C=CC=CC2)C3=CC4=CC=C3CCC5=CC=C(C(=C5)P(C=6C=CC=CC6)C=7C=CC=CC7)CC4
L71,P(C1=C(C=CC=C1)C2=N[C@@H]([C@H](C)C)C(C)(C)O2)(C3=CC=CC=C3)C4=CC=CC=C4
L72,P([C-]12[Fe+2]3456789(C1(=[CH]3C4(=C52[H])[H])C%10=N[C@@H](C(C)C)CO%10)[CH-]%11[CH]6=[CH]7[CH]8=[CH]9%11)(C%12=CC=CC=C%12)C%13=CC=CC=C%13
L73,P(CC(C)(C)C1=N[C@@H]([C@@H](C)C)CO1)(C2=CC=CC=C2)C3=CC=CC=C3
L74,P([C-]12[Fe+2]3456789(C1([C@H](N(P(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
