Substrate;Ligand#;Temperature/C;Hydrogen/bar;Conversion;EE;DDG
SM3;L131;25;5;0.29;0.162;-0.8
SM3;L132;25;5;0.95;0.222;1.1
SM3;L133;25;5;1;0.668;4
SM3;L134;25;5;1;0.636;3.7
SM3;L135;25;5;0.98;0.899;-7.3
SM3;L136;25;5;1;0.6;3.4
SM3;L137;25;5;1;0.554;3.1
SM3;L138;25;5;0.97;0.882;6.9
SM3;L139;25;5;1;0.842;6.1
SM3;L140;25;5;0.14;0.013;-0.1
SM3;L141;25;5;0.99;0.948;-9
SM3;L142;25;5;0.04;0.185;-0.9
SM3;L143;25;5;0.99;0.95;-9.1
SM3;L144;25;5;0.98;0.284;1.4
SM3;L145;25;5;1;0.47;-2.5
SM3;L146;25;5;0.27;0.03;-0.1
SM3;L147;25;5;0.98;0.502;2.7
SM3;L148;25;5;0.61;0.421;2.2
SM3;L149;25;5;1;0.576;3.3
SM3;L150;25;5;0.05;0.015;0.1
SM3;L151;25;5;0.04;0.109;-0.5
SM3;L152;25;5;0.08;0.712;4.4
SM3;L153;25;5;0.98;0.926;8.1
SM3;L154;25;5;0.07;0.109;-0.5
SM3;L155;25;5;0.98;0.55;3.1
SM3;L156;25;5;0.99;0.421;-2.2
SM3;L157;25;5;0.99;0.874;-6.7
SM3;L158;25;5;0.04;0.995;-14.8
SM3;L159;25;5;0.99;0.712;4.4
SM3;L160;25;5;1;0.504;2.7
SM3;L161;25;5;0.04;0.11;-0.5
SM3;L162;25;5;0.29;0.182;-0.9
SM3;L163;25;5;0.98;0.882;6.9
SM3;L164;25;5;0.27;0.197;-1
SM3;L165;25;5;0.99;0.311;-1.6
SM3;L166;25;5;0.25;0.314;-1.6
SM3;L167;25;5;0.99;0.917;-7.8
SM3;L168;25;5;0.11;0.002;0
SM3;L169;25;5;0.98;0.292;-1.5
SM3;L170;25;5;1;0.843;6.1
SM3;L171;25;5;1;0.272;1.4
SM3;L172;25;5;0.27;0.591;-3.4
SM3;L173;25;5;0.98;0.729;4.6
SM3;L174;25;5;1;0.087;-0.4
SM3;L175;25;5;0.93;0.78;-5.2
SM3;L176;25;5;0.08;0.279;1.4
SM3;L177;25;5;0.98;0.252;-1.3
SM3;L178;25;5;1;0.272;-1.4
SM3;L179;25;5;0.19;0.162;0.8
SM3;L180;25;5;0.98;0.232;1.2
SM3;L181;25;5;1;0.13;0.6
SM3;L182;25;5;1;0.231;-1.2
SM3;L183;25;5;1;0.142;0.7
SM3;L184;25;5;1;0.079;0.4
SM3;L185;25;5;0.08;0.183;-0.9
SM3;L186;25;5;0;0;0
SM3;L187;25;5;0.98;0.807;-5.5
SM3;L188;25;5;0.99;0.285;1.5
SM3;L189;25;5;1;0.322;-1.7
SM3;L190;25;5;0.36;0.1;-0.5
SM3;L191;25;5;0.55;0.101;-0.5
SM3;L192;25;5;0.27;0.278;-1.4
SM7;L1;50;5;1;0.289;1.6
SM7;L2;50;5;1;0.26;1.4
SM7;L3;50;5;1;0.117;-0.6
SM7;L4;50;5;0.95;0.199;1.1
SM7;L5;50;5;0.28;0.111;-0.6
